Date,ticker,indexed_value,sector
2025-07-14,XLB,100.0,Materials
2025-07-14,XLC,100.0,Communication Services
2025-07-14,XLE,100.0,Energy
2025-07-14,XLF,100.0,Financials
2025-07-14,XLI,100.0,Industrials
2025-07-14,XLK,100.0,Technology
2025-07-14,XLP,100.0,Consumer Staples
2025-07-14,XLRE,100.0,Real Estate
2025-07-14,XLU,100.0,Utilities
2025-07-14,XLV,100.0,Healthcare
2025-07-14,XLY,100.0,Consumer Discretionary
2025-07-15,XLB,97.94527739011306,Materials
2025-07-15,XLC,99.00981374813821,Communication Services
2025-07-15,XLE,98.55926790332659,Energy
2025-07-15,XLF,98.2873543704225,Financials
2025-07-15,XLI,99.25171968759562,Industrials
2025-07-15,XLK,100.88797304765905,Technology
2025-07-15,XLP,98.99850897041402,Consumer Staples
2025-07-15,XLRE,98.70968514541042,Real Estate
2025-07-15,XLU,99.0456692233085,Utilities
2025-07-15,XLV,98.20038544772713,Healthcare
2025-07-15,XLY,98.56917714851406,Consumer Discretionary
2025-07-16,XLB,98.20898044889441,Materials
2025-07-16,XLC,99.30873150003944,Communication Services
2025-07-16,XLE,97.70844952176552,Energy
2025-07-16,XLF,98.97241114788753,Financials
2025-07-16,XLI,99.60267821961033,Industrials
2025-07-16,XLK,101.20090657961443,Technology
2025-07-16,XLP,99.3447031610215,Consumer Staples
2025-07-16,XLRE,99.78495223895403,Real Estate
2025-07-16,XLU,99.09399348640848,Utilities
2025-07-16,XLV,99.42233430657237,Healthcare
2025-07-16,XLY,98.74915260288428,Consumer Discretionary
2025-07-17,XLB,98.9012201836037,Materials
2025-07-17,XLC,99.6543693583072,Communication Services
2025-07-17,XLE,98.30969760529784,Energy
2025-07-17,XLF,99.9238858566505,Financials
2025-07-17,XLI,100.52314733790007,Industrials
2025-07-17,XLK,102.1201705803959,Technology
2025-07-17,XLP,100.28438141661383,Consumer Staples
2025-07-17,XLRE,99.68938488570484,Real Estate
2025-07-17,XLU,99.50472603903798,Utilities
2025-07-17,XLV,98.28925090181937,Healthcare
2025-07-17,XLY,99.0866169582377,Consumer Discretionary
2025-07-18,XLB,99.13195822610314,Materials
2025-07-18,XLC,99.19664365757957,Communication Services
2025-07-18,XLE,97.51558676463488,Energy
2025-07-18,XLF,99.98098067894995,Financials
2025-07-18,XLI,100.29799389397043,Industrials
2025-07-18,XLK,102.05367655498787,Technology
2025-07-18,XLP,100.01238000507998,Consumer Staples
2025-07-18,XLRE,99.97612466320405,Real Estate
2025-07-18,XLU,101.17178522389736,Utilities
2025-07-18,XLV,97.6375402447025,Healthcare
2025-07-18,XLY,99.96400075776225,Consumer Discretionary
2025-07-21,XLB,99.63740189237289,Materials
2025-07-21,XLC,100.52311508654586,Communication Services
2025-07-21,XLE,96.50595335470085,Energy
